Source,Target,Relation
euro_nexus,thenewsminute,follower_of_friend
krishna01785843,thenewsminute,follower_of_friend
impavithra,thenewsminute,follower_of_friend
Rajnish66864326,thenewsminute,follower_of_friend
AzeezShahir,thenewsminute,follower_of_friend
sureshkumarhc,thenewsminute,follower_of_friend
D9Views,thenewsminute,follower_of_friend
TheRamArjun,thenewsminute,follower_of_friend
AyanarR2,thenewsminute,follower_of_friend
dockayal,thenewsminute,follower_of_friend
pkt_india,thenewsminute,follower_of_friend
VictorPandit,thenewsminute,follower_of_friend
Deepakkhajuria_,thenewsminute,follower_of_friend
ashokkumarlotla,thenewsminute,follower_of_friend
abhisheksriva67,thenewsminute,follower_of_friend
MillennimumNemo,thenewsminute,follower_of_friend
iPrajwalRevanna,thenewsminute,follower_of_friend
Balaji0118,thenewsminute,follower_of_friend
sridhar2029,thenewsminute,follower_of_friend
thenewsminute,SudhanshuArora4,friend_of_friend
thenewsminute,euro_nexus,friend_of_friend
thenewsminute,krishna01785843,friend_of_friend
thenewsminute,impavithra,friend_of_friend
thenewsminute,Rajnish66864326,friend_of_friend
thenewsminute,AzeezShahir,friend_of_friend
thenewsminute,sureshkumarhc,friend_of_friend
thenewsminute,D9Views,friend_of_friend
thenewsminute,TheRamArjun,friend_of_friend
thenewsminute,AyanarR2,friend_of_friend
thenewsminute,dockayal,friend_of_friend
thenewsminute,pkt_india,friend_of_friend
thenewsminute,VictorPandit,friend_of_friend
thenewsminute,Deepakkhajuria_,friend_of_friend
thenewsminute,ashokkumarlotla,friend_of_friend
thenewsminute,abhisheksriva67,friend_of_friend
thenewsminute,MillennimumNemo,friend_of_friend
thenewsminute,iPrajwalRevanna,friend_of_friend
thenewsminute,Balaji0118,friend_of_friend
thenewsminute,sridhar2029,friend_of_friend
@SitaramYechury,DailyO_,friend
abis3067,DailyO_,follower_of_friend
Khatavkar_IN,DailyO_,follower_of_friend
Ram_wram,DailyO_,follower_of_friend
Arsadkh89513911,DailyO_,follower_of_friend
Niteshs33239037,DailyO_,follower_of_friend
lNp0DAVh7CHTm9Y,DailyO_,follower_of_friend
khalidm10278340,DailyO_,follower_of_friend
shipraparashar3,DailyO_,follower_of_friend
diwakarkumarsi4,DailyO_,follower_of_friend
yungsav80005333,DailyO_,follower_of_friend
giridharkk_1965,DailyO_,follower_of_friend
kilo_wog,DailyO_,follower_of_friend
annelkumaarr,DailyO_,follower_of_friend
Eleven20900463,DailyO_,follower_of_friend
doitdeepak,DailyO_,follower_of_friend
yuan3,DailyO_,follower_of_friend
SaadInshrah2901,DailyO_,follower_of_friend
reddy1568,DailyO_,follower_of_friend
salonijaju,DailyO_,follower_of_friend
alig_daud,DailyO_,follower_of_friend
DailyO_,abis3067,friend_of_friend
DailyO_,Khatavkar_IN,friend_of_friend
DailyO_,Ram_wram,friend_of_friend
DailyO_,Arsadkh89513911,friend_of_friend
DailyO_,Niteshs33239037,friend_of_friend
DailyO_,lNp0DAVh7CHTm9Y,friend_of_friend
DailyO_,khalidm10278340,friend_of_friend
DailyO_,shipraparashar3,friend_of_friend
DailyO_,diwakarkumarsi4,friend_of_friend
