Source,Target
OS_Okonkwo,steve_hanke
VasinGoran,steve_hanke
shujatch,steve_hanke
Mardiniii,steve_hanke
skhokhar2000,steve_hanke
RullyTawang,steve_hanke
PakPatriot2020,steve_hanke
KanwarZahid,steve_hanke
valentaladriz,steve_hanke
DrRueckauf,steve_hanke
KnowlMoyo,steve_hanke
RullyTawang,steve_hanke
DigestVenezuela,steve_hanke
ChimboRazzo,steve_hanke
Bubblespotting,steve_hanke
Emi_1776,steve_hanke
AlejoBengoMusic,steve_hanke
Exitednpoweryou,steve_hanke
princetweet07,AmitShah
Nithinvk17,AmitShah
YasminTha555,AmitShah
Omnamohvasudev,AmitShah
Ajayban23357758,AmitShah
lalitasbjp091,AmitShah
Kashikpradeep,AmitShah
ManishNoCaste,AmitShah
PunitVerma_1,AmitShah
VikashPreetam,AmitShah
vikas_seth2,AmitShah
KumaarGoutam,AmitShah
OmkarPa27754054,AmitShah
Sunil_tiwari97,AmitShah
IShivamP2,AmitShah
akashgaautam,AmitShah
princetweet07,AmitShah
venomdarinda,AmitShah
BegusaraiWala,AmitShah
anilrajbhar2,AmitShah
desikan78,AmitShah
AnilGupta207,AmitShah
Geetha23233463,AmitShah
Raghura82791716,AmitShah
Aravind11214856,AmitShah
tanmay8961,AmitShah
Govind_M9,AmitShah
prabhakarkmr2,AmitShah
NaRu89899487,AmitShah
desikan78,AmitShah
Gopalee67,AmitShah
Tharmaraj,AmitShah
kiritsinhpGnr,AmitShah
namomahes,AmitShah
Karthi_Off_27,AmitShah
PitchumaniH,AmitShah
ak_kumarr,AmitShah
eswaranmaduraiy,AmitShah
RajniPandeyBJP,AmitShah
IShivamP2,AmitShah
lalitasbjp091,AmitShah
pranavv95,AmitShah
YasminTha555,AmitShah
NikhilK62851660,AmitShah
NeeleshDas20,AmitShah
aajoshi0607,AmitShah
prabhakarkmr2,AmitShah
rj_vasava,AmitShah
MayankdarjiBjym,AmitShah
NANDUVARU,AmitShah
deb707atri,AmitShah
tanmay8961,AmitShah
RanjeetkrDass,AmitShah
PSabariya_MLA,AmitShah
ParasKGhelaanii,AmitShah
adv_7695,AmitShah
GopalPa17902196,AmitShah
PRADEEP95103006,AmitShah
RAJIVBJYM,AmitShah
DeepsUnique3434,AmitShah
NishantAvasthi1,AmitShah
NANDUVARU,AmitShah
deb707atri,AmitShah
Biswaji09959955,AmitShah
Avinash03854009,AmitShah
tanmay8961,AmitShah
RanjeetkrDass,AmitShah
PSabariya_MLA,AmitShah
ParasKGhelaanii,AmitShah
lalitasbjp091,AmitShah
RajniPandeyBJP,AmitShah
NANDUVARU,AmitShah
kiiishann,AmitShah
deb707atri,AmitShah
princetweet07,AmitShah
AnilGupta207,AmitShah
tanmay8961,AmitShah
RanjeetkrDass,AmitShah
BjymVyas,AmitShah
NANDUVARU,AmitShah
deb707atri,AmitShah
SunilSuman25375,AmitShah
princetweet07,AmitShah
lalitasbjp091,AmitShah
tanmay8961,AmitShah
chanchlakumari7,AmitShah
Deadpoo80360277,AmitShah
IndiraPGandhi,AmitShah
AshishR53239709,AmitShah
NANDUVARU,AmitShah
tanmay8961,AmitShah
LKanath,AmitShah
PSabariya_MLA,AmitShah
ParasKGhelaanii,AmitShah
Yossarian_007,AmitShah
GopalPa17902196,AmitShah
adv_7695,AmitShah
RealGEHLOT,AmitShah
PRADEEP95103006,AmitShah
ModifiedKunal,Paayel_12353
RUBINAP20436165,Paayel_12353
nirav013,Paayel_12353
PabloChoccobarr,Paayel_12353
Prosenj38693230,Paayel_12353
BapiRoy35525419,Paayel_12353
saachin_rai,Paayel_12353
Punti1Sanjoy,Paayel_12353
PavitraRai18,Paayel_12353
Rupchandmal1,Paayel_12353
nirav013,Paayel_12353
Prosenj38693230,Paayel_12353
MohanMahapatr10,Paayel_12353
sandip906237972,Paayel_12353
Chandan97441051,Paayel_12353
uhV4dLtH0S5Rn69,Paayel_12353
niakhan36150514,Paayel_12353
Prasant49947904,Paayel_12353
harindra_biswas,Paayel_12353
RupakBi84144106,Paayel_12353
nirav013,Paayel_12353
Prosenj38693230,Paayel_12353
PushonBasu1,Paayel_12353
SOURAVG64454482,Paayel_12353
noahgodwin13,Paayel_12353
DipuPat64764026,Paayel_12353
Maheswa38232522,Paayel_12353
RakeshJ12311232,Paayel_12353
saachin_rai,Paayel_12353
AnupGhorui8,Paayel_12353
nirav013,Paayel_12353
SwarupakBiswas,Paayel_12353
MannaKailash,Paayel_12353
KalyanG07267914,Paayel_12353
BanikGopa1,Paayel_12353
Surajit38799930,Paayel_12353
RupakBi84144106,Paayel_12353
Arindambiwas,Paayel_12353
harindra_biswas,Paayel_12353
NagarMandal1,Paayel_12353
nirav013,Paayel_12353
RoyAnanada,Paayel_12353
BanikGopa1,Paayel_12353
SudipDa76039185,Paayel_12353
AnupGhorui8,Paayel_12353
LipiDas68318521,Paayel_12353
AnupSin62696196,Paayel_12353
Ajinkya10903788,Paayel_12353
Ujjwaladv,Paayel_12353
Dilipku29407758,Paayel_12353
nirav013,Paayel_12353
Prosenj38693230,Paayel_12353
BanikGopa1,Paayel_12353
Surajit38799930,Paayel_12353
RadhakantaMan18,Paayel_12353
Ajinkya10903788,Paayel_12353
mondal_bjp,Paayel_12353
m71647820,Paayel_12353
Jaswind64159289,Paayel_12353
Krishna42007581,Paayel_12353
Prosenj38693230,Paayel_12353
BanikGopa1,Paayel_12353
Surajit38799930,Paayel_12353
SudipDa76039185,Paayel_12353
Ajinkya10903788,Paayel_12353
Jaswind64159289,Paayel_12353
SudipDa76039185,Paayel_12353
Rahulma47822922,Paayel_12353
Indraji02441557,Paayel_12353
bjpnareshkumar,Paayel_12353
Prosenj38693230,Paayel_12353
BanikGopa1,Paayel_12353
Surajit38799930,Paayel_12353
kuldeep20939220,Paayel_12353
Ajinkya10903788,Paayel_12353
paayel_ankush,Paayel_12353
Prasant49947904,Paayel_12353
DougPatey,Paayel_12353
mandal_nripati,Paayel_12353
SujanDa28801483,Paayel_12353
Prosenj38693230,Paayel_12353
AmitRoy22141199,Paayel_12353
Ajinkya10903788,Paayel_12353
paayel_ankush,Paayel_12353
SumitBatabyal1,Paayel_12353
Indraji02441557,Paayel_12353
bjpnareshkumar,Paayel_12353
SUVADIPPATRA4,Paayel_12353
PratikSinghi30,Paayel_12353
BiplabDasBjym,Paayel_12353
Prosenj38693230,Paayel_12353
BanikGopa1,Paayel_12353
AnupGhorui8,Paayel_12353
lordshivaji,Paayel_12353
Kuntal40125031,Paayel_12353
Indraji02441557,Paayel_12353
PradumPaswan9,Paayel_12353
bjpnareshkumar,Paayel_12353
SUVADIPPATRA4,Paayel_12353
BappaRoyRoy2,Paayel_12353
Rakesh07rk,SrijanForYou
ASHITBARANCHAK1,SrijanForYou
sankhascape97,SrijanForYou
BengalSfi,SrijanForYou
TuhinshubhraSa5,SrijanForYou
Debashi69278139,SrijanForYou
ManiBha27800570,SrijanForYou
Abhishek199916,SrijanForYou
SantanuRoyF9,SrijanForYou
Rakesh07rk,SrijanForYou
RahulMo84090160,SrijanForYou
TheTweeter_06,SrijanForYou
bijoy163,SrijanForYou
palmadhurima,SrijanForYou
BIKRAM_SARKAR_1,SrijanForYou
RajeshK15179704,SrijanForYou
Poly07003441,SrijanForYou
MohammedRiazSk3,SrijanForYou
PaulTyredagh81,SrijanForYou
RahulMo84090160,SrijanForYou
Sangram37632426,SrijanForYou
Poly07003441,SrijanForYou
whitesubho61,SrijanForYou
AbhrajitDutta6,SrijanForYou
BegamKabira,SrijanForYou
arannayava,SrijanForYou
mdazfar15,SrijanForYou
MitradipC,SrijanForYou
bhowmico,SrijanForYou
AnishDe89147571,SrijanForYou
AbhrajitDutta6,SrijanForYou
MostakAlam18,SrijanForYou
sankhascape97,SrijanForYou
Poly07003441,SrijanForYou
iamashim_,SrijanForYou
SrijonBasak3,SrijanForYou
Anwesha93543438,SrijanForYou
Dr_BMRB,SrijanForYou
NirmalC33409663,SrijanForYou
AbhrajitDutta6,SrijanForYou
Poly07003441,SrijanForYou
BengalNeedsLeft,SrijanForYou
thefootymaaniac,SrijanForYou
bachchu_rahaman,SrijanForYou
CPIM_JK,SrijanForYou
SouvikD23326436,SrijanForYou
yehudimehta,SrijanForYou
AbhrajitDutta6,SrijanForYou
Poly07003441,SrijanForYou
BengalNeedsLeft,SrijanForYou
DeepMon78129321,SrijanForYou
satanikguha,SrijanForYou
Puppet_Master_6,SrijanForYou
NirmalC33409663,SrijanForYou
Jashimuddin351,SrijanForYou
ComradeAshish07,SrijanForYou
AbhrajitDutta6,SrijanForYou
Poly07003441,SrijanForYou
BengalNeedsLeft,SrijanForYou
sankhascape97,SrijanForYou
warriorprince99,SrijanForYou
pkcjdv,SrijanForYou
DhimanHaldar2,SrijanForYou
Snehasish1111,SrijanForYou
whitesubho61,SrijanForYou
Poly07003441,SrijanForYou
AbhrajitDutta6,SrijanForYou
BengalNeedsLeft,SrijanForYou
DhimanHaldar2,SrijanForYou
AshimSengupta2,SrijanForYou
SubhamR74062849,SrijanForYou
MrinalK70822393,SrijanForYou
Abhishe18401440,SrijanForYou
pkcjdv,SrijanForYou
anilthakur74,SrijanForYou
AbhrajitDutta6,SrijanForYou
Poly07003441,SrijanForYou
KallolSengupt13,SrijanForYou
BengalNeedsLeft,SrijanForYou
RajeshG68043126,SrijanForYou
Debabra85509117,SrijanForYou
TirthankarMan10,SrijanForYou
ameenvengoor,SrijanForYou
ChandiD53865612,SrijanForYou
leobiswajit10,SrijanForYou
KUMARUTSAV90,anubhavsinha
Anuragyadav1616,anubhavsinha
Sharmasak98,anubhavsinha
MukatiRadhika,anubhavsinha
Vishwajeet19871,anubhavsinha
ZaroonPrince3,anubhavsinha
manish_ajay,anubhavsinha
Shaikh88180313,anubhavsinha
AksharaKundalia,anubhavsinha
AkhileshLY,anubhavsinha
daaktardush,anubhavsinha
vdhiman_89,anubhavsinha
IndieGourmand,anubhavsinha
Mk12095,anubhavsinha
ikashyap_,anubhavsinha
BhupEkta,anubhavsinha
vishalvkumar,anubhavsinha
adwait81456772,anubhavsinha
Golden_Seagul,anubhavsinha
SyedRiz50787807,anubhavsinha
Altamashkhan01,anubhavsinha
NirajSinghAAP,anubhavsinha
BhupEkta,anubhavsinha
ArshadMSiddiqui,anubhavsinha
RealSameerYadav,anubhavsinha
AmanAns48800465,anubhavsinha
baqush_khaiman,anubhavsinha
royalyadav17,anubhavsinha
sajidalimarwadi,anubhavsinha
HemantDhare,anubhavsinha
HrdShabbeer,anubhavsinha
amanshaikh0503,anubhavsinha
syedgazihussain,anubhavsinha
MohammedRamzan,anubhavsinha
gaju1386,anubhavsinha
vineetk67260027,anubhavsinha
AKMACHINE8,anubhavsinha
abid_hussain,anubhavsinha
Golden_Seagul,anubhavsinha
AazadAjay,anubhavsinha
naveenpurohit65,anubhavsinha
KolleoIsBack,KolleoIsBack
BJagaran,KolleoIsBack
desibhakthoon,KolleoIsBack
Somnath48394721,WBPolice
KartikPanday14,WBPolice
1981RAHULDEY,WBPolice
grpsdah,WBPolice
Progres49007912,WBPolice
NCC__INDIA,WBPolice
BarasatPolice,WBPolice
RahulJa34527981,WBPolice
debcbaran,WBPolice
isumonghosh,WBPolice
PRADYUTKUMARB12,WBPolice
SartazK92335308,WBPolice
centralDetecti1,WBPolice
Progres49007912,WBPolice
Nuralam52897595,WBPolice
grpsdah,WBPolice
AyushMo90026045,WBPolice
Bappadityaseng3,WBPolice
KushalKundu9,WBPolice
AMITAVAKAR19,WBPolice
PRADYUTKUMARB12,WBPolice
BarasatPolice,WBPolice
AjayDas37569793,WBPolice
saprateev,WBPolice
RakeshRajAdhik1,WBPolice
HasenAl34308898,WBPolice
yallapppa,WBPolice
