Source,Target,Relation,,
rubi_pathan,NijanandSarasw3,follower_of_follower,,
AatmaVani,NijanandSarasw3,follower_of_follower,,
JChiraagD,NijanandSarasw3,follower_of_follower,,
NeeluSi64242559,NijanandSarasw3,follower_of_follower,,
RajUpad31598815,NijanandSarasw3,follower_of_follower,,
Akanksh95382939,NijanandSarasw3,follower_of_follower,,
Rw8h6DhIv4Wt8EU,NijanandSarasw3,follower_of_follower,,
YTanawala,NijanandSarasw3,follower_of_follower,,
LeelaDuggal9,NijanandSarasw3,follower_of_follower,,
sharma_karunesh,NijanandSarasw3,follower_of_follower,,
CKRISHNAKUMAR16,NijanandSarasw3,follower_of_follower,,
sky_lv_sky,NijanandSarasw3,follower_of_follower,,
ppatel_14,NijanandSarasw3,follower_of_follower,,
bhargaw_arun,NijanandSarasw3,follower_of_follower,,
ArunGuptaIndia_,NijanandSarasw3,follower_of_follower,,
Pradeep94503519,NijanandSarasw3,follower_of_follower,,
ShriKantJangid6,NijanandSarasw3,follower_of_follower,,
Shekhar97535222,NijanandSarasw3,follower_of_follower,,
prince_4747,NijanandSarasw3,follower_of_follower,,
NijanandSarasw3,AdvocatePunee13,friend_of_follower,,
NijanandSarasw3,rubi_pathan,friend_of_follower,,
NijanandSarasw3,AatmaVani,friend_of_follower,,
NijanandSarasw3,JChiraagD,friend_of_follower,,
NijanandSarasw3,NeeluSi64242559,friend_of_follower,,
NijanandSarasw3,RajUpad31598815,friend_of_follower,,
NijanandSarasw3,Akanksh95382939,friend_of_follower,,
NijanandSarasw3,Rw8h6DhIv4Wt8EU,friend_of_follower,,
NijanandSarasw3,YTanawala,friend_of_follower,,
NijanandSarasw3,LeelaDuggal9,friend_of_follower,,
NijanandSarasw3,sharma_karunesh,friend_of_follower,,
NijanandSarasw3,CKRISHNAKUMAR16,friend_of_follower,,
NijanandSarasw3,sky_lv_sky,friend_of_follower,,
NijanandSarasw3,ppatel_14,friend_of_follower,,
NijanandSarasw3,bhargaw_arun,friend_of_follower,,
NijanandSarasw3,ArunGuptaIndia_,friend_of_followerNijanandSarasw3,Pradeep94503519,friend_of_follower
NijanandSarasw3,ShriKantJangid6,friend_of_follower,,
NijanandSarasw3,Shekhar97535222,friend_of_follower,,
NijanandSarasw3,prince_4747,friend_of_follower,,
Jaysukh13670819,@DilipGhoshBJP,follower,,
Jaysukh13670819,AdvocatePunee13,friend_of_follower,,
Jaysukh13670819,rubi_pathan,friend_of_follower,,
Jaysukh13670819,AatmaVani,friend_of_follower,,
Jaysukh13670819,JChiraagD,friend_of_follower,,
Jaysukh13670819,NeeluSi64242559,friend_of_follower,,
Jaysukh13670819,RajUpad31598815,friend_of_follower,,
Jaysukh13670819,Akanksh95382939,friend_of_follower,,
Jaysukh13670819,Rw8h6DhIv4Wt8EU,friend_of_follower,,
Jaysukh13670819,YTanawala,friend_of_follower,,
Jaysukh13670819,LeelaDuggal9,friend_of_follower,,
Jaysukh13670819,sharma_karunesh,friend_of_follower,,
Jaysukh13670819,CKRISHNAKUMAR16,friend_of_follower,,
Jaysukh13670819,sky_lv_sky,friend_of_follower,,
Jaysukh13670819,ppatel_14,friend_of_follower,,
Jaysukh13670819,bhargaw_arun,friend_of_follower,,
Jaysukh13670819,ArunGuptaIndia_,friend_of_follower,,
Jaysukh13670819,Pradeep94503519,friend_of_follower,,
Jaysukh13670819,ShriKantJangid6,friend_of_follower,,
Jaysukh13670819,Shekhar97535222,friend_of_follower,,
Jaysukh13670819,prince_4747,friend_of_follower,,
GayenMukulesh,@DilipGhoshBJP,follower,,
GayenMukulesh,AdvocatePunee13,friend_of_follower,,
GayenMukulesh,rubi_pathan,friend_of_follower,,
GayenMukulesh,AatmaVani,friend_of_follower,,
GayenMukulesh,JChiraagD,friend_of_follower,,
GayenMukulesh,NeeluSi64242559,friend_of_follower,,
GayenMukulesh,RajUpad31598815,friend_of_follower,,
GayenMukulesh,Akanksh95382939,friend_of_follower,,
GayenMukulesh,Rw8h6DhIv4Wt8EU,friend_of_follower,,
GayenMukulesh,YTanawala,friend_of_follower,,
GayenMukulesh,LeelaDuggal9,friend_of_follower,,
GayenMukulesh,sharma_karunesh,friend_of_follower,,
GayenMukulesh,CKRISHNAKUMAR16,friend_of_follower,,
GayenMukulesh,sky_lv_sky,friend_of_follower,,
GayenMukulesh,ppatel_14,friend_of_follower,,
GayenMukulesh,bhargaw_arun,friend_of_follower,,
GayenMukulesh,ArunGuptaIndia_,friend_of_follower,,
GayenMukulesh,Pradeep94503519,friend_of_follower,,
GayenMukulesh,ShriKantJangid6,friend_of_follower,,
GayenMukulesh,Shekhar97535222,friend_of_follower,,
GayenMukulesh,prince_4747,friend_of_follower,,
AyonSar30180265,@DilipGhoshBJP,follower,,
AyonSar30180265,AdvocatePunee13,friend_of_follower,,
AyonSar30180265,rubi_pathan,friend_of_follower,,
AyonSar30180265,AatmaVani,friend_of_follower,,
AyonSar30180265,JChiraagD,friend_of_follower,,
AyonSar30180265,NeeluSi64242559,friend_of_follower,,
AyonSar30180265,RajUpad31598815,friend_of_follower,,
AyonSar30180265,Akanksh95382939,friend_of_follower,,
AyonSar30180265,Rw8h6DhIv4Wt8EU,friend_of_follower,,
AyonSar30180265,YTanawala,friend_of_follower,,
AyonSar30180265,LeelaDuggal9,friend_of_follower,,
AyonSar30180265,sharma_karunesh,friend_of_follower,,
AyonSar30180265,CKRISHNAKUMAR16,friend_of_follower,,
AyonSar30180265,sky_lv_sky,friend_of_follower,,
AyonSar30180265,ppatel_14,friend_of_follower,,
AyonSar30180265,bhargaw_arun,friend_of_follower,,
AyonSar30180265,ArunGuptaIndia_,friend_of_follower,,
AyonSar30180265,Pradeep94503519,friend_of_follower,,
AyonSar30180265,ShriKantJangid6,friend_of_follower,,
AyonSar30180265,Shekhar97535222,friend_of_follower,,
AyonSar30180265,prince_4747,friend_of_follower,,
Barnali2021,@DilipGhoshBJP,follower,,
JanmenjoyGhosh6,Barnali2021,follower_of_follower,,
ajayranjana1987,Barnali2021,follower_of_follower,,
Arindam65142553,Barnali2021,follower_of_follower,,
infra_shiv,Barnali2021,follower_of_follower,,
PINAKIB69209434,Barnali2021,follower_of_follower,,
KonarDolgobinda,Barnali2021,follower_of_follower,,
suthar839001213,Barnali2021,follower_of_follower,,
BappaBi35827594,Barnali2021,follower_of_follower,,
MontuPan4,Barnali2021,follower_of_follower,,
Kapildev121,Barnali2021,follower_of_follower,,
SomnathSam4,Barnali2021,follower_of_follower,,
majumdar_sushil,Barnali2021,follower_of_follower,,
BhimSha26159551,Barnali2021,follower_of_follower,,
RanaChatterji78,Barnali2021,follower_of_follower,,
arajitsarkaraj,Barnali2021,follower_of_follower,,
TheDrKiran,Barnali2021,follower_of_follower,,
BachharPulak,Barnali2021,follower_of_follower,,
Barnali2021,JanmenjoyGhosh6,friend_of_follower,,
Barnali2021,ajayranjana1987,friend_of_follower,,
Barnali2021,Arindam65142553,friend_of_follower,,
Barnali2021,infra_shiv,friend_of_follower,,
Barnali2021,PINAKIB69209434,friend_of_follower,,
Barnali2021,KonarDolgobinda,friend_of_follower,,
Barnali2021,suthar839001213,friend_of_follower,,
Barnali2021,BappaBi35827594,friend_of_follower,,
Barnali2021,MontuPan4,friend_of_follower,,
Barnali2021,Kapildev121,friend_of_follower,,
